disease_finding_id,disease_id,finding_id,presence,typicality,sensitivity_context,specificity_context,disease_stage,age_context,clinical_meaning,distinguishing_value,commonly_tested,step_levels,subject_exams,source_status,relationship_role
DNF-NEUR-F7C4F5785E46,DIS-NEUR-008,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Watershed infarction.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Watershed infarction.,condition-specific,condition-specific,Border-zone infarction follows systemic hypoperfusion and often causes bilateral proximal weakness or cortical border-zone deficits. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.,Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-6E7D7BA01881,DIS-NEUR-008,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Watershed infarction.,Lewy bodies is interpreted against the disease-specific mimics of Watershed infarction.,condition-specific,condition-specific,Border-zone infarction follows systemic hypoperfusion and often causes bilateral proximal weakness or cortical border-zone deficits. The finding 'Lewy bodies' is interpreted in this disease-specific context.,Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-4D8FE176CFED,DIS-NEUR-008,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Watershed infarction.,Ventriculomegaly is interpreted against the disease-specific mimics of Watershed infarction.,condition-specific,condition-specific,Border-zone infarction follows systemic hypoperfusion and often causes bilateral proximal weakness or cortical border-zone deficits. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.,Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-B6F4EA49AD0B,DIS-NEUR-008,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Watershed infarction.,Fluctuating attention is interpreted against the disease-specific mimics of Watershed infarction.,condition-specific,condition-specific,Border-zone infarction follows systemic hypoperfusion and often causes bilateral proximal weakness or cortical border-zone deficits. The finding 'Fluctuating attention' is interpreted in this disease-specific context.,Fluctuating attention helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-D2EBF79E1672,DIS-NEUR-008,FND-NEUR-116242E6B543,present,supportive,Timing and phenotype determine sensitivity of visual hallucinations in Watershed infarction.,Visual hallucinations is interpreted against the disease-specific mimics of Watershed infarction.,condition-specific,condition-specific,Border-zone infarction follows systemic hypoperfusion and often causes bilateral proximal weakness or cortical border-zone deficits. The finding 'Visual hallucinations' is interpreted in this disease-specific context.,Visual hallucinations helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-3E4A3BBA49E8,DIS-NEUR-014,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Epidural hematoma.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Epidural hematoma.,condition-specific,condition-specific,A biconvex extra-axial hemorrhage after temporal trauma can follow a lucid interval and deteriorate rapidly from herniation. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.,Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-4C50489507BF,DIS-NEUR-014,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Epidural hematoma.,Lewy bodies is interpreted against the disease-specific mimics of Epidural hematoma.,condition-specific,condition-specific,A biconvex extra-axial hemorrhage after temporal trauma can follow a lucid interval and deteriorate rapidly from herniation. The finding 'Lewy bodies' is interpreted in this disease-specific context.,Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-BD311F1EB031,DIS-NEUR-014,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Epidural hematoma.,Ventriculomegaly is interpreted against the disease-specific mimics of Epidural hematoma.,condition-specific,condition-specific,A biconvex extra-axial hemorrhage after temporal trauma can follow a lucid interval and deteriorate rapidly from herniation. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.,Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-A7A41002D384,DIS-NEUR-014,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Epidural hematoma.,Fluctuating attention is interpreted against the disease-specific mimics of Epidural hematoma.,condition-specific,condition-specific,A biconvex extra-axial hemorrhage after temporal trauma can follow a lucid interval and deteriorate rapidly from herniation. The finding 'Fluctuating attention' is interpreted in this disease-specific context.,Fluctuating attention helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-D3F1EF8EC4D0,DIS-NEUR-014,FND-NEUR-116242E6B543,present,supportive,Timing and phenotype determine sensitivity of visual hallucinations in Epidural hematoma.,Visual hallucinations is interpreted against the disease-specific mimics of Epidural hematoma.,condition-specific,condition-specific,A biconvex extra-axial hemorrhage after temporal trauma can follow a lucid interval and deteriorate rapidly from herniation. The finding 'Visual hallucinations' is interpreted in this disease-specific context.,Visual hallucinations helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-113DDFC63333,DIS-NEUR-015,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Subdural hematoma.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Subdural hematoma.,condition-specific,condition-specific,"A crescentic collection after tearing of bridging veins causes gradual confusion or focal deficit, especially in older adults or anticoagulated patients. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.",Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-33DFE7163289,DIS-NEUR-015,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Subdural hematoma.,Lewy bodies is interpreted against the disease-specific mimics of Subdural hematoma.,condition-specific,condition-specific,"A crescentic collection after tearing of bridging veins causes gradual confusion or focal deficit, especially in older adults or anticoagulated patients. The finding 'Lewy bodies' is interpreted in this disease-specific context.",Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-E1647517B10E,DIS-NEUR-015,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Subdural hematoma.,Ventriculomegaly is interpreted against the disease-specific mimics of Subdural hematoma.,condition-specific,condition-specific,"A crescentic collection after tearing of bridging veins causes gradual confusion or focal deficit, especially in older adults or anticoagulated patients. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.",Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-6DEF6DC0A377,DIS-NEUR-015,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Subdural hematoma.,Fluctuating attention is interpreted against the disease-specific mimics of Subdural hematoma.,condition-specific,condition-specific,"A crescentic collection after tearing of bridging veins causes gradual confusion or focal deficit, especially in older adults or anticoagulated patients. The finding 'Fluctuating attention' is interpreted in this disease-specific context.",Fluctuating attention helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-7BBA139734EB,DIS-NEUR-015,FND-NEUR-116242E6B543,present,supportive,Timing and phenotype determine sensitivity of visual hallucinations in Subdural hematoma.,Visual hallucinations is interpreted against the disease-specific mimics of Subdural hematoma.,condition-specific,condition-specific,"A crescentic collection after tearing of bridging veins causes gradual confusion or focal deficit, especially in older adults or anticoagulated patients. The finding 'Visual hallucinations' is interpreted in this disease-specific context.",Visual hallucinations helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-B38FB0682B19,DIS-NEUR-018,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Cerebral amyloid angiopathy.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Cerebral amyloid angiopathy.,condition-specific,condition-specific,Recurrent lobar hemorrhage in an older adult without deep hypertensive distribution supports cerebral amyloid angiopathy. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.,Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-EEFEDC549EBF,DIS-NEUR-018,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Cerebral amyloid angiopathy.,Lewy bodies is interpreted against the disease-specific mimics of Cerebral amyloid angiopathy.,condition-specific,condition-specific,Recurrent lobar hemorrhage in an older adult without deep hypertensive distribution supports cerebral amyloid angiopathy. The finding 'Lewy bodies' is interpreted in this disease-specific context.,Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-38947C6A89A8,DIS-NEUR-018,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Cerebral amyloid angiopathy.,Ventriculomegaly is interpreted against the disease-specific mimics of Cerebral amyloid angiopathy.,condition-specific,condition-specific,Recurrent lobar hemorrhage in an older adult without deep hypertensive distribution supports cerebral amyloid angiopathy. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.,Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-891C867F26D3,DIS-NEUR-018,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Cerebral amyloid angiopathy.,Fluctuating attention is interpreted against the disease-specific mimics of Cerebral amyloid angiopathy.,condition-specific,condition-specific,Recurrent lobar hemorrhage in an older adult without deep hypertensive distribution supports cerebral amyloid angiopathy. The finding 'Fluctuating attention' is interpreted in this disease-specific context.,Fluctuating attention helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-5F03058FA6D5,DIS-NEUR-018,FND-NEUR-116242E6B543,present,supportive,Timing and phenotype determine sensitivity of visual hallucinations in Cerebral amyloid angiopathy.,Visual hallucinations is interpreted against the disease-specific mimics of Cerebral amyloid angiopathy.,condition-specific,condition-specific,Recurrent lobar hemorrhage in an older adult without deep hypertensive distribution supports cerebral amyloid angiopathy. The finding 'Visual hallucinations' is interpreted in this disease-specific context.,Visual hallucinations helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-F8A2A3A9D9A5,DIS-NEUR-023,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Reversible cerebral vasoconstriction syndrome.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Reversible cerebral vasoconstriction syndrome.,condition-specific,condition-specific,"Recurrent thunderclap headaches over days with segmental arterial narrowing, often postpartum or vasoactive-drug related, support RCVS. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.",Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-F3AD16C3A7BA,DIS-NEUR-023,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Reversible cerebral vasoconstriction syndrome.,Lewy bodies is interpreted against the disease-specific mimics of Reversible cerebral vasoconstriction syndrome.,condition-specific,condition-specific,"Recurrent thunderclap headaches over days with segmental arterial narrowing, often postpartum or vasoactive-drug related, support RCVS. The finding 'Lewy bodies' is interpreted in this disease-specific context.",Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-521C5320F0B7,DIS-NEUR-023,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Reversible cerebral vasoconstriction syndrome.,Ventriculomegaly is interpreted against the disease-specific mimics of Reversible cerebral vasoconstriction syndrome.,condition-specific,condition-specific,"Recurrent thunderclap headaches over days with segmental arterial narrowing, often postpartum or vasoactive-drug related, support RCVS. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.",Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-CD4DF7BDFD2E,DIS-NEUR-023,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Reversible cerebral vasoconstriction syndrome.,Fluctuating attention is interpreted against the disease-specific mimics of Reversible cerebral vasoconstriction syndrome.,condition-specific,condition-specific,"Recurrent thunderclap headaches over days with segmental arterial narrowing, often postpartum or vasoactive-drug related, support RCVS. The finding 'Fluctuating attention' is interpreted in this disease-specific context.",Fluctuating attention helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-2FAE5FB02EBF,DIS-NEUR-023,FND-NEUR-116242E6B543,present,supportive,Timing and phenotype determine sensitivity of visual hallucinations in Reversible cerebral vasoconstriction syndrome.,Visual hallucinations is interpreted against the disease-specific mimics of Reversible cerebral vasoconstriction syndrome.,condition-specific,condition-specific,"Recurrent thunderclap headaches over days with segmental arterial narrowing, often postpartum or vasoactive-drug related, support RCVS. The finding 'Visual hallucinations' is interpreted in this disease-specific context.",Visual hallucinations helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-28E36CA0091F,DIS-NEUR-024,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Posterior reversible encephalopathy syndrome.,Meningismus is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-1CBECE4DD7B1,DIS-NEUR-024,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Posterior reversible encephalopathy syndrome.,Neutrophilic CSF is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-150270656E54,DIS-NEUR-024,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Posterior reversible encephalopathy syndrome.,Lymphocytic CSF is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-C7C9DDE14F82,DIS-NEUR-024,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Posterior reversible encephalopathy syndrome.,Low CSF glucose is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-9C192056075A,DIS-NEUR-024,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Posterior reversible encephalopathy syndrome.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-9545286B836F,DIS-NEUR-024,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Posterior reversible encephalopathy syndrome.,Elevated opening pressure is interpreted against the disease-specific mimics of Posterior reversible encephalopathy syndrome.,condition-specific,condition-specific,"Acute hypertension, eclampsia, renal disease, or immunosuppression with seizures and posterior vasogenic edema supports PRES. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Posterior reversible encephalopathy syndrome when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-CF88B2A5EEE1,DIS-NEUR-030,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Lateral medullary syndrome.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Lateral medullary syndrome.,condition-specific,condition-specific,"Ipsilateral facial pain-temperature loss with contralateral body pain-temperature loss, dysphagia, and Horner syndrome localizes laterally in the medulla. The finding 'Neurofibrillary tangles' is interpreted in this disease-specific context.",Neurofibrillary tangles helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-3A7341854097,DIS-NEUR-030,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Lateral medullary syndrome.,Lewy bodies is interpreted against the disease-specific mimics of Lateral medullary syndrome.,condition-specific,condition-specific,"Ipsilateral facial pain-temperature loss with contralateral body pain-temperature loss, dysphagia, and Horner syndrome localizes laterally in the medulla. The finding 'Lewy bodies' is interpreted in this disease-specific context.",Lewy bodies helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-BC6A5FF44496,DIS-NEUR-030,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Lateral medullary syndrome.,Ventriculomegaly is interpreted against the disease-specific mimics of Lateral medullary syndrome.,condition-specific,condition-specific,"Ipsilateral facial pain-temperature loss with contralateral body pain-temperature loss, dysphagia, and Horner syndrome localizes laterally in the medulla. The finding 'Ventriculomegaly' is interpreted in this disease-specific context.",Ventriculomegaly helps separate this presentation from the named differential diagnoses.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
