finding_localization_id,finding_id,localization_id,laterality,motor_findings,sensory_findings,reflex_findings,cranial_nerve_findings,cortical_signs,clinical_meaning,source_status,ipsilateral_effects,contralateral_effects,face_body_pattern,motor_pattern,sensory_pattern,reflex_pattern,cranial_nerve_pattern,visual_field_pattern,autonomic_pattern,bowel_bladder_pattern,distinguishing_features,commonly_tested
FLOC-NEUR-6A5C67D017E0,FND-NEUR-AREFLEXIA,LOC-NEUR-NEUROMUSCULARJUNCTIO,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Neuromuscular junction in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Neuromuscular junction lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Neuromuscular junction.,Sensory pattern is interpreted in relation to Neuromuscular junction.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Areflexia is linked to Neuromuscular junction only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-1D94FA331DCD,FND-NEUR-AREFLEXIA,LOC-NEUR-PERIPHERALNERVE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Peripheral nerve in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Peripheral nerve lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Peripheral nerve.,Sensory pattern is interpreted in relation to Peripheral nerve.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Areflexia is linked to Peripheral nerve only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-5F7EC5AC4F84,FND-NEUR-BABINSKISIGN,LOC-NEUR-CORTICOSPINALTRACT,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Corticospinal tract in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Corticospinal tract lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Corticospinal tract.,Sensory pattern is interpreted in relation to Corticospinal tract.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Babinski sign is linked to Corticospinal tract only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-55C71AC35EBA,FND-NEUR-BABINSKISIGN,LOC-NEUR-FRONTALLOBE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Frontal lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Frontal lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Frontal lobe.,Sensory pattern is interpreted in relation to Frontal lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Babinski sign is linked to Frontal lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-205E3D786009,FND-NEUR-87188389447E,LOC-NEUR-OCCIPITALLOBE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Occipital lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Occipital lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Occipital lobe.,Sensory pattern is interpreted in relation to Occipital lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Bowel-bladder dysfunction is linked to Occipital lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-147331E2C09F,FND-NEUR-87188389447E,LOC-NEUR-4D357CCC6A4B,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Cranial nerve VIII in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Cranial nerve VIII lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Cranial nerve VIII.,Sensory pattern is interpreted in relation to Cranial nerve VIII.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Bowel-bladder dysfunction is linked to Cranial nerve VIII only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-3AB343ED6F68,FND-NEUR-BUTTERFLYGLIOMA,LOC-NEUR-INTERNALCAPSULE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Internal capsule in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Internal capsule lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Internal capsule.,Sensory pattern is interpreted in relation to Internal capsule.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Butterfly glioma is linked to Internal capsule only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-591D41D3EE91,FND-NEUR-BUTTERFLYGLIOMA,LOC-NEUR-BE6898C84397,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Dominant frontal language region in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Dominant frontal language region lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Dominant frontal language region.,Sensory pattern is interpreted in relation to Dominant frontal language region.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Butterfly glioma is linked to Dominant frontal language region only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-295DCFBAB3BC,FND-NEUR-CAPELIKESENSORYLOSS,LOC-NEUR-NEUROMUSCULARJUNCTIO,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Neuromuscular junction in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Neuromuscular junction lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Neuromuscular junction.,Sensory pattern is interpreted in relation to Neuromuscular junction.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cape-like sensory loss is linked to Neuromuscular junction only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-F8C0F3C26D82,FND-NEUR-CAPELIKESENSORYLOSS,LOC-NEUR-PERIPHERALNERVE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Peripheral nerve in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Peripheral nerve lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Peripheral nerve.,Sensory pattern is interpreted in relation to Peripheral nerve.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cape-like sensory loss is linked to Peripheral nerve only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-D7DA53ADA656,FND-NEUR-D59CF38731F7,LOC-NEUR-BASALGANGLIA,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Basal ganglia in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Basal ganglia lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Basal ganglia.,Sensory pattern is interpreted in relation to Basal ganglia.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cataplexy is linked to Basal ganglia only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-5890B96D5D78,FND-NEUR-D59CF38731F7,LOC-NEUR-MEDULLA,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Medulla in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Medulla lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Medulla.,Sensory pattern is interpreted in relation to Medulla.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cataplexy is linked to Medulla only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-F138026A65E8,FND-NEUR-CAUDATEATROPHY,LOC-NEUR-708B17430BB7,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Caudate in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Caudate lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Caudate.,Sensory pattern is interpreted in relation to Caudate.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Caudate atrophy is linked to Caudate only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-FA1033565C4E,FND-NEUR-CAUDATEATROPHY,LOC-NEUR-0DC9B1DCD68A,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Cerebellar peduncles in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Cerebellar peduncles lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Cerebellar peduncles.,Sensory pattern is interpreted in relation to Cerebellar peduncles.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Caudate atrophy is linked to Cerebellar peduncles only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-D8A19DABFC72,FND-NEUR-COGWHEELRIGIDITY,LOC-NEUR-870C934FAAF7,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Subthalamic nucleus in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Subthalamic nucleus lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Subthalamic nucleus.,Sensory pattern is interpreted in relation to Subthalamic nucleus.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cogwheel rigidity is linked to Subthalamic nucleus only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-99C7101624E8,FND-NEUR-COGWHEELRIGIDITY,LOC-NEUR-CORTICOSPINALTRACT,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Corticospinal tract in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Corticospinal tract lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Corticospinal tract.,Sensory pattern is interpreted in relation to Corticospinal tract.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Cogwheel rigidity is linked to Corticospinal tract only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-C359C70C0721,FND-NEUR-8A3D2C68E664,LOC-NEUR-FFE315001EB7,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Hypothalamus in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Hypothalamus lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Hypothalamus.,Sensory pattern is interpreted in relation to Hypothalamus.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Crossed neurologic findings is linked to Hypothalamus only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-097BB0166F99,FND-NEUR-8A3D2C68E664,LOC-NEUR-NEUROMUSCULARJUNCTIO,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Neuromuscular junction in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Neuromuscular junction lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Neuromuscular junction.,Sensory pattern is interpreted in relation to Neuromuscular junction.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Crossed neurologic findings is linked to Neuromuscular junction only as a clinically interpretable lesion-localization clue.,true
