coverage_item,step_levels,subject_exams,canonical_entities,presentation_coverage,finding_coverage,differential_coverage,diagnostic_coverage,treatment_coverage,complication_coverage,keyword_coverage,source_coverage,gap_status
Neuroanatomy,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Weakness,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Dizziness and vertigo,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Gait disturbance,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Cognitive decline,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Pediatric neurologic presentations,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Emergency stabilization,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Long-term management,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Secondary prevention,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Rehabilitation,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Medication adverse effects,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,1,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Driving and seizure precautions,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Pregnancy-related neurologic management,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
