diagnostic_id,name,diagnostic_type,specimen_or_modality,general_description,limitations_summary,contraindications_summary,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
DIA-NEUR-F939D0EECC19,Autoantibody testing,test or assessment,condition-specific,Autoantibody testing is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-65636DEF5EDC,Autonomic monitoring,test or assessment,condition-specific,Autonomic monitoring is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-3F8C104A92F0,Avoid routine LP with mass effect,test or assessment,condition-specific,Avoid routine LP with mass effect is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-E6C73B90ED58,Bedside bulbar and cough assessment,test or assessment,condition-specific,Bedside bulbar and cough assessment is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-FD06F26DE670,Brain MRI epilepsy protocol,test or assessment,condition-specific,Brain MRI epilepsy protocol is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-A7836AEADC4A,Brain MRI for atypical features,test or assessment,condition-specific,Brain MRI for atypical features is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-6C139C5F6395,Brain MRI with temporal-lobe assessment,test or assessment,condition-specific,Brain MRI with temporal-lobe assessment is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-62556AB6C26D,Brain and spine MRI,test or assessment,condition-specific,Brain and spine MRI is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-01BA5ED5FDF3,Brain imaging,test or assessment,condition-specific,Brain imaging is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-8A1CC609718A,Brain imaging after stabilization,test or assessment,condition-specific,Brain imaging after stabilization is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-250D94F8E617,Brain imaging before LP only for mass-effect risk,test or assessment,condition-specific,Brain imaging before LP only for mass-effect risk is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-E30595E6F4C1,CSF Gram stain and culture,test or assessment,condition-specific,CSF Gram stain and culture is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-A48D782AC10B,CSF PCR and microbiology,test or assessment,condition-specific,CSF PCR and microbiology is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-B4524BE3A355,CSF oligoclonal bands,test or assessment,condition-specific,CSF oligoclonal bands is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-BA3198A14E32,CT angiography head and neck,test or assessment,condition-specific,CT angiography head and neck is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-A704C4700EF7,Cerebral angiography,test or assessment,condition-specific,Cerebral angiography is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-D46C094CF745,Chest imaging for thymoma,test or assessment,condition-specific,Chest imaging for thymoma is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-D247AA83D4C2,Chest imaging for thymoma when indicated,test or assessment,condition-specific,Chest imaging for thymoma when indicated is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-3C182F8B3CD0,Cognitive testing,test or assessment,condition-specific,Cognitive testing is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-1335DB2E73DD,Collateral cognitive and functional history,test or assessment,condition-specific,Collateral cognitive and functional history is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-A515C1B9EAE7,Continuous EEG,test or assessment,condition-specific,Continuous EEG is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-AE085F846861,Contrast-enhanced brain MRI,test or assessment,condition-specific,Contrast-enhanced brain MRI is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-76103F7093DB,Creatine kinase,test or assessment,condition-specific,Creatine kinase is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-7B78BEA71D6C,Developmental and family history,test or assessment,condition-specific,Developmental and family history is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-78741E1D9C16,ECG and rhythm monitoring,test or assessment,condition-specific,ECG and rhythm monitoring is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-C1BFAA8F249E,EEG for focal or nonconvulsive seizure,test or assessment,condition-specific,EEG for focal or nonconvulsive seizure is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-56E21B342053,EEG when spells or regression suggest epilepsy,test or assessment,condition-specific,EEG when spells or regression suggest epilepsy is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-C6F55E809F11,Electroencephalography,test or assessment,condition-specific,Electroencephalography is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-B1279B24F885,Endocrine testing for sellar lesions,test or assessment,condition-specific,Endocrine testing for sellar lesions is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-E85BA9C2034B,Exclude infectious and metabolic mimics,test or assessment,condition-specific,Exclude infectious and metabolic mimics is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-3DF55731C6C7,Focused movement-disorder examination,test or assessment,condition-specific,Focused movement-disorder examination is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-89052CF57120,"Focused sensory, reflex, and sphincter examination",test or assessment,condition-specific,"Focused sensory, reflex, and sphincter examination is selected for its defined neurologic diagnostic role.","Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-02B0FE972842,Funduscopic examination,test or assessment,condition-specific,Funduscopic examination is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-4EB4A1D80CF7,Genetic testing and counseling,test or assessment,condition-specific,Genetic testing and counseling is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-29502B277166,"Glucose, B12, and toxin testing",test or assessment,condition-specific,"Glucose, B12, and toxin testing is selected for its defined neurologic diagnostic role.","Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-414EA5C43553,Inflammatory and infectious testing,test or assessment,condition-specific,Inflammatory and infectious testing is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-FC9D9ABE1F22,Lumbar puncture with CSF HSV PCR,test or assessment,condition-specific,Lumbar puncture with CSF HSV PCR is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-D793FB579BDF,Lumbar puncture with CSF analysis,test or assessment,condition-specific,Lumbar puncture with CSF analysis is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-C5C289D5C5BA,MRI brain and spinal cord with contrast,test or assessment,condition-specific,MRI brain and spinal cord with contrast is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-A685E95FF812,MRI brain with contrast,test or assessment,condition-specific,MRI brain with contrast is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-681ECC856871,MRI brain with diffusion-weighted imaging,test or assessment,condition-specific,MRI brain with diffusion-weighted imaging is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-D334007F3A48,Medication and delirium-trigger review,test or assessment,condition-specific,Medication and delirium-trigger review is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-F285CA9B1474,Medication exposure review,test or assessment,condition-specific,Medication exposure review is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-41C70ED5EC55,Metabolic or genetic testing when indicated,test or assessment,condition-specific,Metabolic or genetic testing when indicated is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-2353DBAC46E8,Metabolic testing,test or assessment,condition-specific,Metabolic testing is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-EAE726FF5104,MuSK antibody testing when AChR negative,test or assessment,condition-specific,MuSK antibody testing when AChR negative is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-AE1592F68045,Nerve-conduction studies and EMG,test or assessment,condition-specific,Nerve-conduction studies and EMG is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-25272666731E,Neurologic localization examination,test or assessment,condition-specific,Neurologic localization examination is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-40106ED519DA,Neurosurgical drainage or sampling,test or assessment,condition-specific,Neurosurgical drainage or sampling is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-236FDF4891F8,Neurosurgical evaluation for compression,test or assessment,condition-specific,Neurosurgical evaluation for compression is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-ABAF3464D3B1,Neurosurgical tissue diagnosis,test or assessment,condition-specific,Neurosurgical tissue diagnosis is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-AD3E74CEC54D,Noncontrast head CT,test or assessment,condition-specific,Noncontrast head CT is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-7AD5D30A2640,Point-of-care glucose,test or assessment,condition-specific,Point-of-care glucose is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-F0421BC765DA,Pregnancy test when relevant,test or assessment,condition-specific,Pregnancy test when relevant is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-5529C25C8C4D,Repetitive nerve stimulation or single-fiber EMG,test or assessment,condition-specific,Repetitive nerve stimulation or single-fiber EMG is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-2807ECD2ED52,Reversible-cause laboratory testing,test or assessment,condition-specific,Reversible-cause laboratory testing is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-75D9C172C299,Search for contiguous or hematogenous source,test or assessment,condition-specific,Search for contiguous or hematogenous source is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-BDC096901008,Serial respiratory measurements,test or assessment,condition-specific,Serial respiratory measurements is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-21063DF11DB4,Serial respiratory measurements during significant weakness,test or assessment,condition-specific,Serial respiratory measurements during significant weakness is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
DIA-NEUR-7D84631CB320,Systemic malignancy evaluation,test or assessment,condition-specific,Systemic malignancy evaluation is selected for its defined neurologic diagnostic role.,"Interpret with syndrome timing, safety, and pretest probability.",Use the condition-specific safety context in linked relationships.,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
