treatment_id,name,treatment_type,treatment_category,general_description,mechanism_summary,major_contraindications,monitoring_summary,pregnancy_context,pediatric_context,renal_context,hepatic_context,emergency_role,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
TRT-013,Broad-spectrum antibiotics,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-014,Source control,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-015,Vasopressor support,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-016,Corticosteroids,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-017,Bronchodilator therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-018,Noninvasive ventilation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-019,Mechanical ventilation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-020,Diuresis,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-021,Insulin therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-022,Glucose administration,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-023,Electrolyte correction,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-024,Seizure precautions,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-025,Antiseizure therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-026,Surgical consultation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-027,Emergency surgery,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-028,Endoscopic intervention,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-029,Interventional radiology,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-030,Pain control,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-031,Antiemetic therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-032,Fluid restriction,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-033,Renal replacement therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-034,Antidote administration,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-035,Immunosuppression,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-036,Psychiatric safety assessment,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-037,Obstetric consultation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-038,Fetal monitoring,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-039,Rh immune globulin,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-040,Magnesium sulfate,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-041,Antihypertensive therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-042,Wound care,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-043,Burn resuscitation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-044,Tetanus prophylaxis,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-045,Isolation precautions,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-046,Vaccination,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-047,Rehabilitation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-048,Palliative consultation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-049,Observation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-050,Hospital admission,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-051,Intensive care admission,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-052,Discharge planning,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-053,Follow-up planning,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-054,Smoking cessation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-055,Nutrition support,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-056,Thromboprophylaxis,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-057,Stress ulcer prophylaxis,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-058,Bowel rest,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-059,Transfusion support,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-060,Platelet transfusion,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-061,Neutropenic precautions,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-062,Antiviral therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-063,Antifungal therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-064,Antiparasitic therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-065,Antitoxin therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-066,Decontamination,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-067,Temperature management,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-068,Hypothermia prevention,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-069,Splinting,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-070,Immobilization,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-071,Physical therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-072,Occupational therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-073,Speech therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-074,Behavioral therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-075,Psychotherapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-076,Substance withdrawal protocol,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-077,Medication reconciliation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-078,Consultation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-079,Transfer to higher level of care,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-NEUR-CB1D18701F10,Acyclovir for suspected HSV encephalitis,intervention,neurology,Acyclovir for suspected HSV encephalitis is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-1FC2AF1432AD,Advance-care and support planning,intervention,neurology,Advance-care and support planning is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-07CDDDD8181F,Airway and blood-pressure stabilization,intervention,neurology,Airway and blood-pressure stabilization is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-B7EE557B7EE6,Airway and respiratory support,intervention,neurology,Airway and respiratory support is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-C06E82D469B5,Airway and ventilatory support,intervention,neurology,Airway and ventilatory support is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-1EEB06D38545,"Airway, oxygen, and glucose correction",intervention,neurology,"Airway, oxygen, and glucose correction is linked only to its condition-specific treatment context.",Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-6816F51583A3,Aneurysm securing with neurosurgery or endovascular team,intervention,neurology,Aneurysm securing with neurosurgery or endovascular team is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-CC8D49F6B1AF,Antiplatelet or anticoagulation mechanism-specific prevention,intervention,neurology,Antiplatelet or anticoagulation mechanism-specific prevention is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-2C0F8162520C,Avoid corticosteroids because they are ineffective for typical GBS,intervention,neurology,Avoid corticosteroids because they are ineffective for typical GBS is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-4932814EDA25,Avoid ineffective or exacerbating therapy,intervention,neurology,Avoid ineffective or exacerbating therapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-34F04D099C8B,Avoid medication-induced exacerbation,intervention,neurology,Avoid medication-induced exacerbation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-45668B102B9B,Avoid routine lumbar puncture with mass lesion,intervention,neurology,Avoid routine lumbar puncture with mass lesion is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-A414603E2572,Benzodiazepine seizure termination,intervention,neurology,Benzodiazepine seizure termination is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-4CFA75A2C66F,Bladder and bowel management,intervention,neurology,Bladder and bowel management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-FCDF69A0482F,"Bladder, mobility, and pregnancy-context counseling",intervention,neurology,"Bladder, mobility, and pregnancy-context counseling is linked only to its condition-specific treatment context.",Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
