disease_id,canonical_name,concise_definition,organ_system_primary,board_exam_priority,time_course,severity_or_acuity,epidemiology_summary,risk_factors_summary,pathophysiology_summary,classic_presentation_summary,key_distinguishing_features,common_board_traps,emergency_red_flags,disposition_summary,prognosis_summary,last_reviewed_date,replacement_disease_id,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier,step_levels,subject_exams,tested_as
DIS-NEUR-163,Cerebral toxoplasmosis,Opportunistic central nervous system infection caused by Toxoplasma gondii that produces intracranial lesions.,Neurology,1,Subacute,Urgent,Occurs predominantly with advanced cellular immunosuppression.,Advanced HIV infection or other severe cellular immunosuppression.,Reactivation of latent Toxoplasma gondii in brain tissue produces focal inflammatory lesions.,Subacute headache focal neurologic deficit seizure or altered mental status in an immunocompromised host.,Brain lesions require differentiation from primary CNS lymphoma and other opportunistic infections in the host context.,Ring enhancement is not specific to toxoplasmosis.,Declining consciousness seizures progressive focal deficit or concern for mass effect requires urgent evaluation.,Urgent neuroimaging and specialty-directed management are appropriate when suspected.,Outcome depends on immune status lesion burden and timely pathogen-directed therapy.,2026-08-01,,source_checked,needs_medical_review,false,Source-supported cerebral toxoplasmosis canonical record.,partially_source_supported,not_requested,core,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Infectious Disease; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment
DIS-C-0015,Pulmonary embolism,Draft educational illness-script placeholder pending human review.,Pulmonology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0027,Lower gastrointestinal bleeding,Draft educational illness-script placeholder pending human review.,Gastroenterology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0028,Peptic ulcer disease,Draft educational illness-script placeholder pending human review.,Gastroenterology,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0029,Acute pancreatitis,Draft educational illness-script placeholder pending human review.,Gastroenterology,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0030,Acute cholecystitis,Draft educational illness-script placeholder pending human review.,Gastroenterology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0031,Ascending cholangitis,Draft educational illness-script placeholder pending human review.,Gastroenterology,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0032,Hepatitis,Draft educational illness-script placeholder pending human review.,Gastroenterology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0033,Cirrhosis,Draft educational illness-script placeholder pending human review.,Gastroenterology,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0034,Spontaneous bacterial peritonitis,Draft educational illness-script placeholder pending human review.,Gastroenterology,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0035,Inflammatory bowel disease,Draft educational illness-script placeholder pending human review.,Gastroenterology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0036,Small bowel obstruction,Draft educational illness-script placeholder pending human review.,Gastroenterology,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-G-0037,Mesenteric ischemia,Draft educational illness-script placeholder pending human review.,Gastroenterology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0048,Diabetic ketoacidosis,Draft educational illness-script placeholder pending human review.,Endocrinology,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0049,Hyperosmolar hyperglycemic state,Draft educational illness-script placeholder pending human review.,Endocrinology,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0050,Hypoglycemia,Draft educational illness-script placeholder pending human review.,Endocrinology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0051,Thyroid storm,Draft educational illness-script placeholder pending human review.,Endocrinology,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0052,Myxedema coma,Draft educational illness-script placeholder pending human review.,Endocrinology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0053,Primary adrenal insufficiency,Draft educational illness-script placeholder pending human review.,Endocrinology,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0054,Cushing syndrome,Draft educational illness-script placeholder pending human review.,Endocrinology,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0055,Pheochromocytoma,Draft educational illness-script placeholder pending human review.,Endocrinology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-E-0057,Diabetes mellitus,Draft educational illness-script placeholder pending human review.,Endocrinology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0070,Sepsis,Draft educational illness-script placeholder pending human review.,Infectious Disease,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0071,Anaphylaxis,Draft educational illness-script placeholder pending human review.,Infectious Disease,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0072,Cellulitis,Draft educational illness-script placeholder pending human review.,Infectious Disease,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0073,Osteomyelitis,Draft educational illness-script placeholder pending human review.,Infectious Disease,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0074,Human immunodeficiency virus infection,Draft educational illness-script placeholder pending human review.,Infectious Disease,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0075,Infective diarrhea,Draft educational illness-script placeholder pending human review.,Infectious Disease,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0076,Clostridioides difficile infection,Draft educational illness-script placeholder pending human review.,Infectious Disease,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0077,Malaria,Draft educational illness-script placeholder pending human review.,Infectious Disease,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0078,Lyme disease,Draft educational illness-script placeholder pending human review.,Infectious Disease,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-ID-0079,Toxic shock syndrome,Draft educational illness-script placeholder pending human review.,Infectious Disease,5,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-HO-0080,Iron deficiency anemia,Draft educational illness-script placeholder pending human review.,Hematology Oncology,1,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-HO-0081,Hemolytic anemia,Draft educational illness-script placeholder pending human review.,Hematology Oncology,2,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-HO-0082,Sickle cell disease,Draft educational illness-script placeholder pending human review.,Hematology Oncology,3,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
DIS-HO-0083,Immune thrombocytopenia,Draft educational illness-script placeholder pending human review.,Hematology Oncology,4,variable,variable,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Draft content pending review.,Review required.,Review required.,Review required.,,,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Pediatrics; Family Medicine; Neurology; Emergency Medicine,definition; presentation; diagnostic_test; differential_diagnosis; first_line_treatment; complication
