presentation_id,name,concise_definition,emergency_priority,initial_stabilization_summary,key_history_questions,key_exam_focus,initial_test_categories,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
PRS-016,Hematuria,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-017,Acute kidney injury,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-018,Edema,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-019,Rash,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-020,Joint pain,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-021,Weakness,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-022,Fatigue,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-023,Anemia,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-024,Lymphadenopathy,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-025,Weight loss,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-026,Hyperglycemia,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-027,Hypoglycemia,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-028,Vaginal bleeding,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-029,Pelvic pain,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-030,Amenorrhea,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-031,Pregnancy with abdominal pain,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-032,Pediatric fever,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-033,Neonatal respiratory distress,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-034,Trauma,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-035,Shock,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-036,Back pain,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-037,Cough,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-038,Hemoptysis,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-039,Oliguria,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-040,Confusion,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-CARD-041,Bradycardia,Cardiovascular presentation centered on bradycardia.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-042,Cyanosis,Cardiovascular presentation centered on cyanosis.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-043,Exertional intolerance,Cardiovascular presentation centered on exertional intolerance.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-044,Heart failure,Cardiovascular presentation centered on heart failure.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-045,Hypertension,Cardiovascular presentation centered on hypertension.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-046,Hypotension,Cardiovascular presentation centered on hypotension.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-047,Limb pain,Cardiovascular presentation centered on limb pain.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-048,New murmur,Cardiovascular presentation centered on new murmur.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-CARD-049,Peripheral edema,Cardiovascular presentation centered on peripheral edema.,1,"Assess airway, breathing, circulation, perfusion, and monitor rhythm before targeted testing.","Clarify onset, exertional relation, associated dyspnea, syncope, vascular risk, medications, and pregnancy context.","Assess perfusion, blood pressure in both arms when relevant, heart sounds, volume status, pulses, and neurologic findings.","ECG, focused laboratory testing, echocardiography or imaging selected by the suspected physiology.",source_checked,needs_medical_review,false,Original educational presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-050,Abnormal movements,Neurologic presentation centered on abnormal movements.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-051,Acute focal neurologic deficit,Neurologic presentation centered on acute focal neurologic deficit.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-052,Anisocoria,Neurologic presentation centered on anisocoria.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-053,Ascending weakness,Neurologic presentation centered on ascending weakness.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-054,Ataxia,Neurologic presentation centered on ataxia.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-055,Back pain with neurologic deficit,Neurologic presentation centered on back pain with neurologic deficit.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-056,Behavioral change,Neurologic presentation centered on behavioral change.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-057,Coma,Neurologic presentation centered on coma.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-058,Developmental delay,Neurologic presentation centered on developmental delay.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-059,Developmental regression,Neurologic presentation centered on developmental regression.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-060,Diplopia,Neurologic presentation centered on diplopia.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-061,Facial weakness,Neurologic presentation centered on facial weakness.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-062,Fatigable weakness,Neurologic presentation centered on fatigable weakness.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-063,First seizure,Neurologic presentation centered on first seizure.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-064,Gait disturbance,Neurologic presentation centered on gait disturbance.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-065,Head trauma,Neurologic presentation centered on head trauma.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-066,Loss of consciousness,Neurologic presentation centered on loss of consciousness.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-067,Memory loss,Neurologic presentation centered on memory loss.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-068,Neonatal hypotonia,Neurologic presentation centered on neonatal hypotonia.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-069,Numbness,Neurologic presentation centered on numbness.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-070,Status epilepticus,Neurologic presentation centered on status epilepticus.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-071,Thunderclap headache,Neurologic presentation centered on thunderclap headache.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-072,Tremor,Neurologic presentation centered on tremor.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-073,Vertigo,Neurologic presentation centered on vertigo.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-NEUR-074,Vision loss,Neurologic presentation centered on vision loss.,1,"Assess airway, breathing, circulation, glucose, consciousness, and time-sensitive neurologic threats.","Establish onset, last-known-well, progression, preceding illness or trauma, medications, exposures, pregnancy, and baseline function.","Document mental status, cranial nerves, motor pattern, sensation, reflexes, coordination, gait when safe, and meningeal or pressure signs.","Bedside glucose, ECG when appropriate, targeted labs, neuroimaging, EEG, CSF, or electrodiagnostics selected by localization.",source_checked,needs_medical_review,false,Original Neurology presentation record.,partially_source_supported,not_requested,index
PRS-REN-002,Abnormal urinalysis,Renal or genitourinary presentation centered on abnormal urinalysis.,1,"Assess circulation, ECG when electrolyte risk exists, urine output, volume state, sepsis, and obstruction.","Clarify baseline kidney function, medications, nephrotoxins, voiding, fluid loss, pregnancy, systemic disease, and timing.","Assess volume, blood pressure, edema, bladder distention, costovertebral tenderness, rash, and systemic findings.","Creatinine trend, urinalysis, microscopy, electrolytes, ECG, urine studies, bladder scan, and renal imaging selected by syndrome.",source_checked,needs_medical_review,false,Original renal presentation record.,partially_source_supported,not_requested,index
